"Below a list of things that I expect to implement in the next version of Clarity module:","Nachfolgend eine Liste der Dinge, die ich in der nächsten Version dieses Moduls voraussichtlich implementieren werde:<br>
                     - ???<br><br>
                     Wenn Sie eine andere Idee haben, kontaktieren Sie mich bitte unter <a href='https://de.mariosam.eu/kontakt/' target='_blank'>Mario SAM</a>.<br>
                     Wenn Ihnen dieses KOSTENLOSE Modul gefallen hat, können Sie mir auch mit einer Spende in <a href='https://www.patreon.com/MarioSAM' target='_blank'>Patreon</a> helfen. Dankeschön!"
"Clarity Configuration","Clarity Aufbau"
"Clarity Settings","Microsoft Clarity"
"Enable","Aktivieren"
"ex.: 3xkyqgjd4r","ex.: 3xkyqgjd4r"
"Expected for the next versions","Wird für die nächsten Versionen erwartet"
"How to use Clarity? Access the Mario SAM blog and read the post.","Wie benutzt man? Greifen Sie auf den <a href='https://de.mariosam.eu' target='_blank'>Mario SAM-Blog</a> zu und lesen Sie den Beitrag."
"Mario SAM","Mario SAM"
"Module Enable","Modul Aktivieren"
"My Contact","Mein Kontakt"
"No","Nein"
"Yes","Ja"
"You can talk with me and/or hire me!","Sie können mit mir sprechen und/oder mich einstellen!"
"Your code ID","Ihre Code-ID"