"Below a list of things that I expect to implement in the next version of Clarity module:","Di seguito un elenco di cose che mi aspetto di implementare nella prossima versione di questo modulo:<br>
                     - ???<br><br>
                     Se hai altre idee, contattami su <a href='https://it.mariosam.eu/contatto/' target='_blank'>Mario SAM</a>.<br>
                     Se ti è piaciuto questo modulo GRATUITO, puoi anche aiutarmi con una donazione in <a href='https://www.patreon.com/MarioSAM' target='_blank'>Patreon</a>. Grazie!"
"Clarity Configuration","Clarity Configurazione"
"Clarity Settings","Microsoft Clarity"
"Enable","Abilitare"
"ex.: 3xkyqgjd4r","ex.: 3xkyqgjd4r"
"Expected for the next versions","Previsto per le prossime versioni"
"How to use Clarity? Access the Mario SAM blog and read the post.","Come usare? Accedi al blog di <a href='https://it.mariosam.eu' target='_blank'>Mario SAM</a> e leggi il post."
"Mario SAM","Mario SAM"
"Module Enable","Abilita Modulo"
"My Contact","Il Mio Contatto"
"No","No"
"Yes","Sì"
"You can talk with me and/or hire me!","Puoi parlare con me e/o assumermi!"
"Your code ID","Il tuo Codice ID"